<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.12.17	35908.0	36023.0	35305.0	35382.0	244490	0	0
2021.12.20	35261.0	35296.0	34683.0	34955.0	309760	0	0
2021.12.21	35075.0	35526.0	34994.0	35510.0	188150	0	0
2021.12.22	35504.0	35781.0	35419.0	35766.0	133970	0	0
2021.12.23	35785.0	36082.0	35758.0	35969.0	99256	0	0
2021.12.27	35992.0	36327.0	35895.0	36327.0	101760	0	0
2021.12.28	36288.0	36544.0	36250.0	36427.0	112180	0	0
2021.12.29	36439.0	36597.0	36386.0	36520.0	106940	0	0
2021.12.30	36492.0	36710.0	36394.0	36432.0	91410	0	0
2021.12.31	36426.0	36490.0	36258.0	36490.0	100600	0	0
2022.01.03	36482.0	36615.0	36264.0	36602.0	153010	0	0
2022.01.04	36562.0	36945.0	36550.0	36809.0	138210	0	0
2022.01.05	36773.0	36971.0	36420.0	36432.0	176310	0	0
2022.01.06	36474.0	36551.0	36214.0	36257.0	254910	0	0
2022.01.07	36315.0	36396.0	36120.0	36239.0	193850	0	0
2022.01.10	36102.0	36303.0	35654.0	36074.0	232980	0	0
2022.01.11	36086.0	36272.0	35763.0	36254.0	212220	0	0
2022.01.12	36244.0	36452.0	36164.0	36297.0	183550	0	0
2022.01.13	36301.0	36514.0	36051.0	36126.0	188410	0	0
2022.01.14	36148.0	36246.0	35641.0	35921.0	269990	0	0
2022.01.17	35985.0	36010.0	35834.0	35961.0	104450	0	0
2022.01.18	35929.0	35991.0	35269.0	35394.0	252210	0	0
2022.01.19	35412.0	35552.0	35013.0	35033.0	263940	0	0
2022.01.20	35038.0	35488.0	34665.0	34712.0	247690	0	0
2022.01.21	34614.0	34895.0	34224.0	34244.0	407940	0	0
2022.01.24	34355.0	34525.0	33138.0	34382.0	486220	0	0
2022.01.25	34308.0	34584.0	33539.0	34304.0	521450	0	0
2022.01.26	34286.0	34816.0	33858.0	34152.0	431199	0	0
2022.01.27	34264.0	34766.0	33648.0	34152.0	509190	0	0
2022.01.28	34340.0	34719.0	33724.0	34712.0	450210	0	0
2022.01.31	34658.0	35139.0	34428.0	35094.0	276620	0	0
2022.02.01	35036.0	35430.0	34946.0	35377.0	250340	0	0
2022.02.02	35364.0	35672.0	35284.0	35605.0	201100	0	0
2022.02.03	35627.0	35628.0	35062.0	35102.0	223700	0	0
2022.02.04	35283.0	35335.0	34794.0	35100.0	284020	0	0
2022.02.07	35120.0	35331.0	34934.0	35096.0	251060	0	0
2022.02.08	35141.0	35550.0	35055.0	35468.0	205270	0	0
2022.02.09	35535.0	35823.0	35494.0	35778.0	157680	0	0
2022.02.10	35818.0	35862.0	35097.0	35242.0	244500	0	0
2022.02.11	35197.0	35436.0	34622.0	34725.0	324810	0	0
2022.02.14	34725.0	34854.0	34303.0	34569.0	385840	0	0
2022.02.15	34589.0	35057.0	34436.0	34993.0	259680	0	0
2022.02.16	34935.0	35146.0	34645.0	34946.0	230770	0	0
2022.02.17	34969.0	34984.0	34246.0	34309.0	263580	0	0
2022.02.18	34326.0	34568.0	33972.0	34091.0	286950	0	0
2022.02.21	33997.0	34418.0	33744.0	33768.0	236930	0	0
2022.02.22	33503.0	34118.0	33362.0	33587.0	415970	0	0
2022.02.23	33735.0	33891.0	33084.0	33144.0	274320	0	0
2022.02.24	33108.0	33262.0	32226.0	33218.0	618430	0	0
2022.02.25	33058.0	34092.0	32816.0	34049.0	398530	0	0
2022.02.28	33606.0	33965.0	33372.0	33895.0	451430	0	0
2022.03.01	33892.0	34099.0	33101.0	33295.0	371690	0	0
2022.03.02	33345.0	34013.0	33156.0	33877.0	375450	0	0
2022.03.03	33833.0	34177.0	33634.0	33791.0	300900	0	0
2022.03.04	33843.0	33894.0	33246.0	33601.0	456890	0	0
2022.03.07	33317.0	33576.0	32808.0	32815.0	436020	0	0
2022.03.08	32747.0	33405.0	32342.0	32617.0	527000	0	0
2022.03.09	32608.0	33459.0	32608.0	33292.0	384210	0	0
2022.03.10	33249.0	33300.0	32815.0	33169.0	351510	0	0
2022.03.11	33213.0	33694.0	32909.0	32944.0	337730	0	0
2022.03.14	33118.0	33407.0	32825.0	32963.0	332659	0	0
2022.03.15	33018.0	33635.0	32697.0	33571.0	322279	0	0
2022.03.16	33510.0	34090.0	33398.0	34088.0	317209	0	0
2022.03.17	34097.0	34497.0	33872.0	34490.0	262829	0	0
2022.03.18	34304.0	34760.0	34216.0	34736.0	222339	0	0
2022.03.21	34747.0	34810.0	34344.0	34558.0	212899	0	0
2022.03.22	34569.0	34892.0	34447.0	34838.0	164289	0	0
2022.03.23	34863.0	34909.0	34361.0	34363.0	163999	0	0
2022.03.24	34370.0	34731.0	34334.0	34726.0	162079	0	0
2022.03.25	34734.0	34959.0	34642.0	34880.0	167009	0	0
2022.03.28	34864.0	34958.0	34568.0	34863.0	163289	0	0
2022.03.29	34964.0	35403.0	34948.0	35322.0	187399	0	0
2022.03.30	35279.0	35377.0	35076.0	35246.0	165450	0	0
2022.03.31	35260.0	35335.0	34713.0	34715.0	161810	0	0
2022.04.01	34795.0	34931.0	34558.0	34830.0	180400	0	0
2022.04.04	34800.0	34957.0	34634.0	34949.0	143450	0	0
2022.04.05	34920.0	35121.0	34574.0	34659.0	154190	0	0
2022.04.06	34674.0	34719.0	34289.0	34507.0	213640	0	0
2022.04.07	34488.0	34714.0	34195.0	34604.0	206090	0	0
2022.04.08	34591.0	34924.0	34472.0	34748.0	179509	0	0
2022.04.11	34729.0	34751.0	34284.0	34325.0	207060	0	0
2022.04.12	34357.0	34685.0	34111.0	34233.0	229479	0	0
2022.04.13	34269.0	34619.0	34160.0	34595.0	183710	0	0
2022.04.14	34575.0	34901.0	34455.0	34471.0	183180	0	0
2022.04.18	34467.0	34642.0	34295.0	34443.0	171990	0	0
2022.04.19	34523.0	35009.0	34345.0	34950.0	191600	0	0
2022.04.20	34916.0	35349.0	34842.0	35197.0	201210	0	0
2022.04.21	35267.0	35521.0	34752.0	34808.0	202254	0	0
2022.04.22	34797.0	34826.0	33797.0	33852.0	260260	0	0
2022.04.25	33801.0	34123.0	33337.0	34079.0	391550	0	0
2022.04.26	34051.0	34142.0	33241.0	33242.0	273090	0	0
2022.04.27	33331.0	33714.0	33114.0	33322.0	369210	0	0
2022.04.28	33391.0	34068.0	33260.0	33944.0	271000	0	0
2022.04.29	33828.0	33998.0	32924.0	32987.0	295350	0	0
2022.05.02	32950.0	33249.0	32463.0	33094.0	402990	0	0
2022.05.03	33047.0	33358.0	32909.0	33144.0	320040	0	0
2022.05.04	33169.0	34132.0	33030.0	34080.0	281500	0	0
2022.05.05	34055.0	34118.0	32689.0	33026.0	348390	0	0
2022.05.06	32968.0	33068.0	32474.0	32907.0	441060	0	0
2022.05.09	32723.0	32754.0	32128.0	32243.0	389120	0	0
2022.05.10	32346.0	32754.0	31902.0	32175.0	423170	0	0
2022.05.11	32143.0	32597.0	31811.0	31854.0	384250	0	0
2022.05.12	31838.0	31975.0	31233.0	31743.0	469250	0	0
2022.05.13	31710.0	32284.0	31677.0	32210.0	289190	0	0
2022.05.16	32288.0	32526.0	31942.0	32253.0	314500	0	0
2022.05.17	32229.0	32765.0	32206.0	32670.0	258960	0	0
2022.05.18	32703.0	32710.0	31400.0	31522.0	247340	0	0
2022.05.19	31427.0	31574.0	31008.0	31252.0	419570	0	0
2022.05.20	31299.0	31597.0	30639.0	31253.0	318470	0	0
2022.05.23	31408.0	31970.0	31353.0	31889.0	305590	0	0
2022.05.24	31767.0	32017.0	31361.0	31942.0	292780	0	0
2022.05.25	32039.0	32261.0	31732.0	32141.0	288310	0	0
2022.05.26	32115.0	32776.0	32047.0	32648.0	230280	0	0
2022.05.27	32604.0	33210.0	32526.0	33209.0	191970	0	0
2022.05.30	33226.0	33476.0	33213.0	33319.0	118030	0	0
2022.05.31	33205.0	33298.0	32755.0	33000.0	292560	0	0
2022.06.01	33076.0	33275.0	32585.0	32809.0	267600	0	0
2022.06.02	32778.0	33253.0	32512.0	33252.0	235660	0	0
2022.06.03	33268.0	33307.0	32839.0	32903.0	234360	0	0
2022.06.06	32912.0	33243.0	32821.0	32917.0	210500	0	0
2022.06.07	32905.0	33210.0	32621.0	33182.0	222300	0	0
2022.06.08	33137.0	33184.0	32820.0	32906.0	213400	0	0
2022.06.09	32930.0	33121.0	32266.0	32266.0	248380	0	0
2022.06.10	32302.0	32349.0	31388.0	31392.0	303040	0	0
2022.06.13	31278.0	31303.0	30387.0	30545.0	367750	0	0
2022.06.14	30637.0	30892.0	30163.0	30408.0	352970	0	0
2022.06.15	30448.0	31040.0	30197.0	30707.0	370130	0	0
2022.06.16	30810.0	30966.0	29760.0	29967.0	370390	0	0
2022.06.17	30051.0	30241.0	29671.0	29900.0	359590	0	0
2022.06.20	30003.0	30253.0	29778.0	30180.0	186760	0	0
2022.06.21	30165.0	30683.0	30150.0	30569.0	203370	0	0
2022.06.22	30539.0	30809.0	30045.0	30491.0	264220	0	0
2022.06.23	30481.0	30739.0	30289.0	30705.0	291090	0	0
2022.06.24	30594.0	31545.0	30579.0	31543.0	202540	0	0
2022.06.27	31427.0	31735.0	31374.0	31479.0	244170	0	0
2022.06.28	31480.0	31911.0	30959.0	30975.0	246640	0	0
2022.06.29	31021.0	31189.0	30909.0	31046.0	263720	0	0
2022.06.30	31070.0	31072.0	30452.0	30869.0	293329	0	0
2022.07.01	30701.0	31163.0	30471.0	31116.0	321690	0	0
2022.07.04	31061.0	31117.0	30861.0	31024.0	131150	0	0
2022.07.05	31068.0	31261.0	30376.0	30992.0	278460	0	0
2022.07.06	30988.0	31249.0	30784.0	31065.0	295660	0	0
2022.07.07	31088.0	31444.0	30940.0	31405.0	209690	0	0
2022.07.08	31377.0	31531.0	31228.0	31361.0	221490	0	0
2022.07.11	31300.0	31388.0	31087.0	31187.0	209500	0	0
2022.07.12	31210.0	31371.0	30874.0	31015.0	216250	0	0
2022.07.13	31020.0	31334.0	30524.0	30796.0	282650	0	0
2022.07.14	30730.0	30822.0	30156.0	30651.0	273740	0	0
2022.07.15	30707.0	31299.0	30538.0	31283.0	220910	0	0
2022.07.18	31297.0	31654.0	30988.0	31083.0	185420	0	0
2022.07.19	31089.0	31850.0	31065.0	31815.0	183140	0	0
2022.07.20	31831.0	32015.0	31655.0	31887.0	215160	0	0
2022.07.21	31818.0	32045.0	31534.0	32043.0	236510	0	0
2022.07.22	32007.0	32223.0	31733.0	31909.0	214860	0	0
2022.07.25	31857.0	32098.0	31806.0	31997.0	198360	0	0
2022.07.26	31859.0	31951.0	31710.0	31759.0	177140	0	0
2022.07.27	31853.0	32357.0	31809.0	32213.0	186290	0	0
2022.07.28	32182.0	32623.0	31987.0	32528.0	179210	0	0
2022.07.29	32567.0	32925.0	32503.0	32865.0	171300	0	0
2022.08.01	32759.0	32987.0	32651.0	32813.0	187270	0	0
2022.08.02	32791.0	32832.0	32401.0	32417.0	210270	0	0
2022.08.03	32504.0	32924.0	32395.0	32824.0	175850	0	0
2022.08.04	32812.0	32918.0	32654.0	32742.0	165750	0	0
2022.08.05	32740.0	32837.0	32483.0	32802.0	165690	0	0
2022.08.08	32771.0	33123.0	32723.0	32848.0	164860	0	0
2022.08.09	32878.0	32930.0	32714.0	32788.0	157910	0	0
2022.08.10	32819.0	33381.0	32729.0	33316.0	150840	0	0
2022.08.11	33312.0	33665.0	33296.0	33355.0	161550	0	0
2022.08.12	33379.0	33770.0	33336.0	33760.0	132830	0	0
2022.08.15	33715.0	33971.0	33533.0	33928.0	125180	0	0
2022.08.16	33890.0	34295.0	33835.0	34164.0	139330	0	0
2022.08.17	34140.0	34211.0	33840.0	33992.0	175540	0	0
2022.08.18	33998.0	34082.0	33848.0	34018.0	154340	0	0
2022.08.19	34013.0	34016.0	33632.0	33710.0	160700	0	0
2022.08.22	33640.0	33652.0	33016.0	33082.0	171360	0	0
2022.08.23	33119.0	33193.0	32863.0	32918.0	188930	0	0
2022.08.24	32920.0	33103.0	32772.0	32985.0	161120	0	0
2022.08.25	32988.0	33308.0	32895.0	33304.0	152662	0	0
2022.08.26	33234.0	33467.0	32276.0	32290.0	210460	0	0
2022.08.29	32063.0	32330.0	31956.0	32105.0	241610	0	0
2022.08.30	32141.0	32374.0	31644.0	31797.0	232280	0	0
2022.08.31	31758.0	31992.0	31514.0	31518.0	254070	0	0
2022.09.01	31496.0	31669.0	31218.0	31652.0	249130	0	0
2022.09.02	31666.0	32023.0	31175.0	31321.0	250760	0	0
2022.09.05	31307.0	31466.0	31289.0	31426.0	131430	0	0
2022.09.06	31467.0	31594.0	31045.0	31170.0	250400	0	0
2022.09.07	31164.0	31647.0	30980.0	31588.0	230920	0	0
2022.09.08	31593.0	31782.0	31303.0	31765.0	245540	0	0
2022.09.09	31763.0	32224.0	31761.0	32157.0	181330	0	0
2022.09.12	32237.0	32526.0	32139.0	32446.0	186810	0	0
2022.09.13	32440.0	32698.0	31048.0	31159.0	240730	0	0
2022.09.14	31184.0	31309.0	30909.0	31202.0	257740	0	0
2022.09.15	31204.0	31302.0	30896.0	31017.0	236190	0	0
2022.09.16	30827.0	30892.0	30567.0	30869.0	240920	0	0
2022.09.19	30861.0	31109.0	30516.0	31057.0	217200	0	0
2022.09.20	31094.0	31185.0	30485.0	30746.0	212920	0	0
2022.09.21	30726.0	31044.0	30135.0	30140.0	284420	0	0
