<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.02	610.00	618.00	605.00	615.60	113463	0	0
2016.10.09	615.61	642.03	612.00	637.51	131506	0	0
2016.10.16	637.51	657.00	622.50	650.00	182639	0	0
2016.10.23	650.00	711.58	647.20	711.57	257073	0	0
2016.10.30	711.58	730.00	678.01	698.40	290604	0	0
2016.11.06	698.40	717.77	688.44	702.44	176702	0	0
2016.11.13	702.24	744.69	685.57	739.28	194358	0	0
2016.11.20	739.28	745.00	715.00	735.13	194781	0	0
2016.11.27	735.13	773.00	726.12	757.96	186946	0	0
2016.12.04	757.97	769.95	743.00	768.61	221288	0	0
2016.12.11	768.41	780.00	757.70	778.41	170845	0	0
2016.12.18	778.40	899.40	775.01	874.00	143217	0	0
2016.12.25	874.00	945.72	822.80	926.00	171653	0	0
2017.01.01	926.01	1095.78	777.96	841.58	244391	0	0
2017.01.08	841.58	898.00	752.00	805.50	204978	0	0
2017.01.15	805.50	913.30	802.18	894.10	47731	0	0
2017.01.22	903.62	921.90	879.80	912.50	62928	0	0
2017.01.29	912.45	1019.70	905.00	1003.13	56116	0	0
2017.02.05	1003.13	1071.80	931.60	994.13	71734	0	0
2017.02.12	994.13	1060.80	973.20	1036.76	68078	0	0
2017.02.19	1036.76	1217.70	1021.63	1135.00	82970	0	0
2017.02.26	1135.00	1291.50	1127.58	1256.52	98150	0	0
2017.03.05	1256.52	1343.40	972.50	1160.00	127744	0	0
2017.03.12	1160.00	1257.00	972.70	973.43	109890	0	0
2017.03.19	973.44	1147.00	905.00	956.40	127313	0	0
2017.03.26	956.40	1096.00	956.40	1069.79	98844	0	0
2017.04.02	1069.39	1198.90	1068.02	1169.99	99142	0	0
2017.04.09	1169.54	1225.46	1138.03	1180.16	163573	0	0
2017.04.16	1180.16	1249.30	1158.01	1223.99	152161	0	0
2017.04.23	1223.99	1344.51	1212.53	1295.69	154523	0	0
2017.04.30	1295.69	1620.01	1284.73	1466.83	144878	0	0
2017.05.07	1466.83	1889.64	1463.99	1695.65	191819	919999999999907986	0
2017.05.14	1695.46	1993.99	1638.61	1992.09	161206	1125199999999887467	0
2017.05.21	1992.09	2754.73	1736.92	1929.99	179636	1290299999999870894	0
2017.05.28	1929.99	2497.99	1855.01	2474.99	201694	1536739999999846279	0
2017.06.04	2474.99	2927.99	2410.00	2779.50	237254	1714129999999828475	0
2017.06.11	2779.50	2974.99	2115.49	2553.58	274763	1966839999999803284	0
2017.06.18	2550.00	2783.98	2420.13	2566.98	237859	1897179999999810261	0
2017.06.25	2570.89	2632.78	2286.43	2354.84	224113	1847739999999815202	0
2017.07.02	2354.91	2634.26	2328.74	2506.91	247833	2029219999999797030	0
2017.07.09	2506.90	2535.18	2143.73	2150.43	227396	1993869999999800406	0
2017.07.16	2146.94	2931.35	1846.90	2629.62	171487	1714249999999827460	1000
2017.07.23	2631.57	2818.98	2396.00	2747.51	170225	1694009999999830425	0
2017.07.30	2747.52	2924.06	2610.01	2832.57	163322	1630229999999836870	0
2017.08.06	3247.46	3566.79	3181.50	3563.11	188524	1853489999999813933	0
2017.08.13	3563.12	4471.03	3563.12	4008.25	202537	2008819999999795366	0
2017.08.20	4063.57	4443.92	3595.50	4317.21	222273	2209059999999773772	0
2017.08.27	4342.91	4924.93	4163.50	4865.43	192798	1918669999999798606	0
