<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.19	18.035	18.148	17.598	18.089	121643	0	14
2020.01.26	18.223	18.345	17.336	18.021	133162	0	14
2020.02.02	18.091	18.107	17.478	17.681	143260	0	0
2020.02.09	17.695	17.834	17.442	17.719	113114	0	14
2020.02.16	17.715	18.626	17.686	18.471	126122	0	14
2020.02.23	18.645	18.940	16.385	16.650	259282	0	14
2020.03.01	16.447	17.568	16.427	17.319	214745	0	14
2020.03.08	17.510	17.585	14.434	14.683	221453	0	14
2020.03.15	14.911	15.109	11.627	12.561	220186	0	14
2020.03.22	12.605	14.706	12.267	14.467	141780	0	15
2020.03.29	14.467	14.539	13.760	14.396	107074	0	17
2020.04.05	14.409	15.519	14.224	15.277	63661	0	35
2020.04.12	15.417	15.822	14.987	15.156	97813	0	35
2020.04.19	15.071	15.420	14.497	15.222	106318	0	35
2020.04.26	15.101	15.488	14.579	14.951	89777	0	35
2020.05.03	14.907	15.610	14.664	15.426	74194	0	36
2020.05.10	15.415	16.709	15.248	16.630	69115	0	36
2020.05.17	16.715	17.617	16.621	17.181	90615	0	36
2020.05.24	17.120	17.891	16.829	17.829	73920	0	36
2020.05.31	17.983	18.352	17.188	17.385	81565	0	35
2020.06.07	17.283	18.165	17.276	17.465	75761	0	35
2020.06.14	17.437	17.785	16.919	17.563	72976	0	35
2020.06.21	17.661	18.050	17.335	17.770	74487	0	35
2020.06.28	17.819	18.417	17.664	18.017	63926	0	35
2020.07.05	18.004	19.018	17.907	18.671	68383	0	35
2020.07.12	18.731	19.461	18.709	19.317	87953	0	35
2020.07.19	19.295	23.235	19.234	22.749	153114	0	35
2020.07.26	22.785	26.171	22.260	24.247	210677	0	35
2020.08.02	24.697	29.826	23.969	28.176	216762	0	35
2020.08.09	28.221	29.386	23.338	26.448	289294	0	35
2020.08.16	26.572	28.443	25.787	26.582	238432	0	35
2020.08.23	26.714	27.911	26.034	27.485	164892	0	35
2020.08.30	27.586	28.884	26.279	26.836	180865	0	35
2020.09.06	26.837	27.466	25.818	26.737	142419	0	35
2020.09.13	26.642	27.598	26.261	26.814	133400	0	35
2020.09.20	26.747	26.939	21.654	22.896	216028	0	0
2020.09.27	22.999	24.398	22.505	23.737	168254	0	0
2020.10.04	23.823	25.156	23.052	25.150	137104	0	1
2020.10.11	25.047	25.555	23.566	24.122	163741	0	0
2020.10.18	24.188	25.282	24.106	24.590	160496	0	0
2020.10.25	24.575	24.610	22.579	23.634	184538	0	0
2020.11.01	23.608	25.841	23.215	25.614	228178	0	0
2020.11.08	25.776	25.996	23.567	24.614	192888	0	0
2020.11.15	24.639	25.064	23.630	24.158	143916	0	0
2020.11.22	24.131	24.388	22.333	22.670	123503	0	0
2020.11.29	22.726	24.406	21.886	24.165	149393	0	0
2020.12.06	24.177	24.864	23.520	23.950	147303	0	0
2020.12.13	23.956	26.127	23.657	25.770	150902	0	0
2020.12.20	25.812	27.405	24.945	25.789	158661	0	1
2020.12.27	26.032	26.767	25.946	26.308	115786	0	0
